id,symbol,type,examples,howToPronounceVi,sampleWord,confusingWord,practiceSentence,recognitionQuestion,recognitionOptions,answer,testInstruction
IPA-01,/iː/,long vowel,"sheep, seat, team","Kéo môi sang ngang, lưỡi cao, âm dài. Đừng đọc thành /ɪ/.",sheep,ship,I lead the team on the production line.,Which word contains /iː/?,"['sheep', 'ship', 'other']",sheep,Record yourself reading: sheep. Then read the sentence: I lead the team on the production line.
IPA-02,/ɪ/,short vowel,"ship, sit, busy","Âm ngắn, miệng thả lỏng hơn /iː/.",ship,sheep,This shift is busy.,Which word contains /ɪ/?,"['ship', 'sheep', 'other']",ship,Record yourself reading: ship. Then read the sentence: This shift is busy.
IPA-03,/e/,short vowel,"bed, head, said","Mở miệng vừa, âm ngắn.",bed,bad,I check the defect trend.,Which word contains /e/?,"['bed', 'bad', 'other']",bed,Record yourself reading: bed. Then read the sentence: I check the defect trend.
IPA-04,/æ/,short vowel,"cat, plan, manpower","Mở miệng rộng, hàm hạ xuống.",manpower,men power,I plan manpower before the shift starts.,Which word contains /æ/?,"['manpower', 'men power', 'other']",manpower,Record yourself reading: manpower. Then read the sentence: I plan manpower before the shift starts.
IPA-05,/ɑː/,long vowel,"car, start, target","Mở miệng, âm dài, không đọc /a/ tiếng Việt quá ngắn.",start,stut,I start with the production target.,Which word contains /ɑː/?,"['start', 'stut', 'other']",start,Record yourself reading: start. Then read the sentence: I start with the production target.
IPA-06,/ɒ/,short vowel,"hot, lot, problem","Âm /o/ ngắn kiểu Anh-Anh, môi tròn nhẹ.",hot,hat,We have a problem on the line.,Which word contains /ɒ/?,"['hot', 'hat', 'other']",hot,Record yourself reading: hot. Then read the sentence: We have a problem on the line.
IPA-07,/ɔː/,long vowel,"law, call, order","Môi tròn, âm dài.",order,odor,I call Maintenance when the machine stops.,Which word contains /ɔː/?,"['order', 'odor', 'other']",order,Record yourself reading: order. Then read the sentence: I call Maintenance when the machine stops.
IPA-08,/ʊ/,short vowel,"put, good, should","Âm ngắn, môi tròn nhẹ, không kéo dài.",should,shood,We should check material readiness.,Which word contains /ʊ/?,"['should', 'shood', 'other']",should,Record yourself reading: should. Then read the sentence: We should check material readiness.
IPA-09,/uː/,long vowel,"food, move, improve","Môi tròn, âm dài.",improve,improov,I improve productivity by removing bottlenecks.,Which word contains /uː/?,"['improve', 'improov', 'other']",improve,Record yourself reading: improve. Then read the sentence: I improve productivity by removing bottlenecks.
IPA-10,/ʌ/,short vowel,"cup, much, production","Âm ngắn, miệng mở vừa.",production,prodakshun,Production must be stable.,Which word contains /ʌ/?,"['production', 'prodakshun', 'other']",production,Record yourself reading: production. Then read the sentence: Production must be stable.
IPA-11,/ɜː/,long vowel,"bird, work, first","Âm dài, môi không tròn, chú ý work.",work,walk,I work with QA and Engineering.,Which word contains /ɜː/?,"['work', 'walk', 'other']",work,Record yourself reading: work. Then read the sentence: I work with QA and Engineering.
IPA-12,/ə/,schwa,"about, operator, support","Âm yếu, rất ngắn trong âm không nhấn.",support,sapport,I support Team Leaders during the shift.,Which word contains /ə/?,"['support', 'sapport', 'other']",support,Record yourself reading: support. Then read the sentence: I support Team Leaders during the shift.
IPA-13,/eɪ/,diphthong,"day, make, safety",Bắt đầu /e/ rồi trượt lên /ɪ/.,safety,sefty,Safety is the first priority.,Which word contains /eɪ/?,"['safety', 'sefty', 'other']",safety,Record yourself reading: safety. Then read the sentence: Safety is the first priority.
IPA-14,/aɪ/,diphthong,"my, line, priority",Bắt đầu mở miệng rồi trượt lên /ɪ/.,line,lane,I monitor line output every hour.,Which word contains /aɪ/?,"['line', 'lane', 'other']",line,Record yourself reading: line. Then read the sentence: I monitor line output every hour.
IPA-15,/ɔɪ/,diphthong,"boy, point, avoid",Môi tròn đầu âm rồi trượt.,avoid,avoyd,I avoid repeated quality issues.,Which word contains /ɔɪ/?,"['avoid', 'avoyd', 'other']",avoid,Record yourself reading: avoid. Then read the sentence: I avoid repeated quality issues.
IPA-16,/aʊ/,diphthong,"now, output, down",Mở miệng rồi trượt về môi tròn.,output,out put,I follow hourly output.,Which word contains /aʊ/?,"['output', 'out put', 'other']",output,Record yourself reading: output. Then read the sentence: I follow hourly output.
IPA-17,/əʊ/,diphthong,"go, follow, close",Bắt đầu âm yếu rồi trượt sang /ʊ/.,follow,falo,I follow up the result.,Which word contains /əʊ/?,"['follow', 'falo', 'other']",follow,Record yourself reading: follow. Then read the sentence: I follow up the result.
IPA-18,/ɪə/,diphthong,"near, clear, engineer",/ɪ/ trượt về /ə/.,clear,clere,Clear communication is important.,Which word contains /ɪə/?,"['clear', 'clere', 'other']",clear,Record yourself reading: clear. Then read the sentence: Clear communication is important.
IPA-19,/eə/,diphthong,"hair, care, prepare",/e/ trượt về /ə/.,prepare,prepair,I prepare manpower for ramp-up.,Which word contains /eə/?,"['prepare', 'prepair', 'other']",prepare,Record yourself reading: prepare. Then read the sentence: I prepare manpower for ramp-up.
IPA-20,/ʊə/,diphthong,"tour, sure, secure","/ʊ/ trượt về /ə/, ít dùng trong AmE.",sure,shore,I make sure the shift follows the plan.,Which word contains /ʊə/?,"['sure', 'shore', 'other']",sure,Record yourself reading: sure. Then read the sentence: I make sure the shift follows the plan.
IPA-21,/p/,voiceless consonant,"plan, process, support","Bật hơi nhẹ, không rung dây thanh.",plan,blan,I check the production plan.,Which word contains /p/?,"['plan', 'blan', 'other']",plan,Record yourself reading: plan. Then read the sentence: I check the production plan.
IPA-22,/b/,voiced consonant,"balance, bottleneck, job",Có rung dây thanh.,balance,palace,I balance manpower across lines.,Which word contains /b/?,"['balance', 'palace', 'other']",balance,Record yourself reading: balance. Then read the sentence: I balance manpower across lines.
IPA-23,/t/,voiceless consonant,"target, team, output","Âm cuối phải rõ, nhất là target/output.",target,targed,The actual output is below target.,Which word contains /t/?,"['target', 'targed', 'other']",target,Record yourself reading: target. Then read the sentence: The actual output is below target.
IPA-24,/d/,voiced consonant,"delivery, data, daily","Có rung dây thanh, đừng đọc thành /t/.",delivery,telivery,I control delivery by tracking hourly output.,Which word contains /d/?,"['delivery', 'telivery', 'other']",delivery,Record yourself reading: delivery. Then read the sentence: I control delivery by tracking hourly output.
IPA-25,/k/,voiceless consonant,"capacity, check, risk",Bật âm rõ ở cuối từ risk/check.,capacity,gapacity,I check line capacity.,Which word contains /k/?,"['capacity', 'gapacity', 'other']",capacity,Record yourself reading: capacity. Then read the sentence: I check line capacity.
IPA-26,/g/,voiced consonant,"gap, goal, organize",Có rung dây thanh.,gap,cap,I close the production gap before delivery risk.,Which word contains /g/?,"['gap', 'cap', 'other']",gap,Record yourself reading: gap. Then read the sentence: I close the production gap before delivery risk.
IPA-27,/f/,voiceless consonant,"follow, focus, shift","Răng trên chạm môi dưới, không đọc thành /p/.",follow,pollow,I follow up corrective actions.,Which word contains /f/?,"['follow', 'pollow', 'other']",follow,Record yourself reading: follow. Then read the sentence: I follow up corrective actions.
IPA-28,/v/,voiced consonant,"very, visible, improve",Răng trên chạm môi dưới và rung.,visible,fisible,Data makes problems visible.,Which word contains /v/?,"['visible', 'fisible', 'other']",visible,Record yourself reading: visible. Then read the sentence: Data makes problems visible.
IPA-29,/θ/,voiceless consonant,"think, method, three","Đưa lưỡi nhẹ giữa răng, không đọc thành /t/.",three,tree,I manage three production lines.,Which word contains /θ/?,"['three', 'tree', 'other']",three,Record yourself reading: three. Then read the sentence: I manage three production lines.
IPA-30,/ð/,voiced consonant,"this, that, they",Lưỡi giữa răng và có rung.,this,dis,This helps maintain stable production flow.,Which word contains /ð/?,"['this', 'dis', 'other']",this,Record yourself reading: this. Then read the sentence: This helps maintain stable production flow.
IPA-31,/s/,voiceless consonant,"safety, process, issue","Âm gió, không rung.",safety,shafety,Safety and quality are important.,Which word contains /s/?,"['safety', 'shafety', 'other']",safety,Record yourself reading: safety. Then read the sentence: Safety and quality are important.
IPA-32,/z/,voiced consonant,"zero, result, raise","Có rung dây thanh, đừng đọc thành /s/.",result,resalt,I follow up the result.,Which word contains /z/?,"['result', 'resalt', 'other']",result,Record yourself reading: result. Then read the sentence: I follow up the result.
IPA-33,/ʃ/,voiceless consonant,"shift, ship, issue","Môi hơi tròn, âm sh.",shift,sit,My shift can support the order.,Which word contains /ʃ/?,"['shift', 'sit', 'other']",shift,Record yourself reading: shift. Then read the sentence: My shift can support the order.
IPA-34,/ʒ/,voiced consonant,"measure, vision, usually","Âm /ʃ/ có rung, ít gặp.",measure,mesure,I measure productivity by output and efficiency.,Which word contains /ʒ/?,"['measure', 'mesure', 'other']",measure,Record yourself reading: measure. Then read the sentence: I measure productivity by output and efficiency.
IPA-35,/h/,voiceless consonant,"handover, handle, help","Hơi thở nhẹ, không bỏ âm đầu.",handover,andover,I conduct shift handover clearly.,Which word contains /h/?,"['handover', 'andover', 'other']",handover,Record yourself reading: handover. Then read the sentence: I conduct shift handover clearly.
IPA-36,/tʃ/,affricate,"check, change, achieve",Bắt đầu /t/ rồi /ʃ/.,check,shek,I check manpower and material readiness.,Which word contains /tʃ/?,"['check', 'shek', 'other']",check,Record yourself reading: check. Then read the sentence: I check manpower and material readiness.
IPA-37,/dʒ/,affricate,"job, adjust, urgent",Bắt đầu /d/ rồi /ʒ/.,adjust,ajust,I adjust manpower when needed.,Which word contains /dʒ/?,"['adjust', 'ajust', 'other']",adjust,Record yourself reading: adjust. Then read the sentence: I adjust manpower when needed.
IPA-38,/m/,nasal,"manpower, machine, maintenance","Môi khép, hơi qua mũi.",manpower,nanpower,Manpower allocation is important.,Which word contains /m/?,"['manpower', 'nanpower', 'other']",manpower,Record yourself reading: manpower. Then read the sentence: Manpower allocation is important.
IPA-39,/n/,nasal,"line, plan, production","Lưỡi chạm lợi trên, âm cuối cần rõ.",line,lie,The line is behind target.,Which word contains /n/?,"['line', 'lie', 'other']",line,Record yourself reading: line. Then read the sentence: The line is behind target.
IPA-40,/ŋ/,nasal,"running, working, morning","Âm ng cuối, không thêm /g/ mạnh.",working,workin-g,I am working on productivity improvement.,Which word contains /ŋ/?,"['working', 'workin-g', 'other']",working,Record yourself reading: working. Then read the sentence: I am working on productivity improvement.
IPA-41,/l/,consonant,"line, leader, quality",Lưỡi chạm lợi trên.,leader,reader,I guide Team Leaders during the shift.,Which word contains /l/?,"['leader', 'reader', 'other']",leader,Record yourself reading: leader. Then read the sentence: I guide Team Leaders during the shift.
IPA-42,/r/,consonant,"risk, ramp-up, recover",Không rung lưỡi kiểu tiếng Việt quá mạnh.,risk,lisk,I escalate delivery risk early.,Which word contains /r/?,"['risk', 'lisk', 'other']",risk,Record yourself reading: risk. Then read the sentence: I escalate delivery risk early.
IPA-43,/j/,consonant,"yes, yield, use",Âm giống y trong yes.,yield,ield,I monitor yield and defect data.,Which word contains /j/?,"['yield', 'ield', 'other']",yield,Record yourself reading: yield. Then read the sentence: I monitor yield and defect data.
IPA-44,/w/,consonant,"work, warehouse, waste","Môi tròn, trượt nhanh.",work,vork,I work with Warehouse to solve material issues.,Which word contains /w/?,"['work', 'vork', 'other']",work,Record yourself reading: work. Then read the sentence: I work with Warehouse to solve material issues.
