id,number,category,priority,question,questionVi,sampleAnswer,vietnameseIdea,keyPhrases,framework,answerHint,followUpExamples
INT-01,1,Self Introduction,Must learn,Tell me about yourself.,Hãy giới thiệu bản thân.,"Good morning. My name is Nguyen Vo Van Hung. I am currently working as a Production Shift Leader at Sonion Vietnam. I manage one production shift with 3 production lines, 8 Team Leaders, and around 120 operators. My main responsibilities are controlling daily output, delivery, productivity, manpower, quality issues, and shift handover. I also work with QA, Engineering, Maintenance, and Warehouse to solve production problems.","Em hiện là Production Shift Leader tại Sonion Vietnam, quản lý 1 ca gồm 3 chuyền, 8 Team Leader và khoảng 120 công nhân. Công việc chính là kiểm soát sản lượng, giao hàng, năng suất, nhân lực, chất lượng và bàn giao ca.","['daily output', 'delivery', 'productivity', 'manpower']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to self introduction?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-02,2,Motivation,Must learn,Why do you apply for this Production Supervisor position?,Vì sao bạn ứng tuyển vị trí Production Supervisor?,"I apply for this position because my current experience is very close to production supervision. I already manage a large shift team and control output, delivery, productivity, manpower, and quality issues every day. I want to develop further in production management and take more responsibility for line performance, people development, and continuous improvement.",Em ứng tuyển vì kinh nghiệm hiện tại rất gần với giám sát sản xuất. Em đang quản lý đội lớn và kiểm soát KPI hằng ngày. Em muốn phát triển lên vai trò có trách nhiệm rộng hơn về hiệu suất line và con người.,"['delivery', 'productivity', 'manpower', 'quality']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to motivation?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-03,3,Current Scope,Must learn,What is your current production scope?,Phạm vi công việc hiện tại của bạn là gì?,"My current scope is one production shift with 3 production lines, 8 Team Leaders, and around 120 operators. I make sure the shift follows the daily production plan. I follow output, delivery priority, manpower arrangement, productivity, quality issues, and abnormal situations during the shift.","Em quản lý 1 ca gồm 3 chuyền, 8 Team Leader và khoảng 120 công nhân. Em đảm bảo ca chạy đúng kế hoạch, theo dõi sản lượng, delivery, nhân lực, năng suất, lỗi chất lượng và bất thường.","['delivery', 'productivity', 'manpower', 'quality']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to current scope?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-04,4,KPI,Must learn,What are the most important KPIs for a Production Supervisor?,KPI quan trọng nhất của Production Supervisor là gì?,"In my opinion, the main KPIs are safety, quality, delivery, productivity, and people. Delivery and productivity are very important, but they must go together with quality and safety. If we only focus on output, we may create quality problems. If we only focus on quality but ignore delivery, we may miss customer requirements. So the supervisor must balance all KPIs.","KPI quan trọng là an toàn, chất lượng, giao hàng, năng suất và con người. Không thể chỉ chạy sản lượng mà bỏ chất lượng, cũng không thể chỉ giữ chất lượng mà trễ giao hàng.","['delivery', 'productivity', 'quality', 'safety']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to kpi?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-05,5,Output Control,Must learn,How do you control daily production output?,Bạn kiểm soát sản lượng hằng ngày như thế nào?,"I control daily output by checking the production plan at the beginning of the shift. Then I align with Team Leaders about target, manpower, priority orders, and possible risks. During the shift, I follow hourly output. If actual output is behind target, I check the reason and take recovery actions quickly.","Đầu ca em kiểm tra kế hoạch, thống nhất target với Team Leader. Trong ca em theo dõi output theo giờ. Nếu thấp hơn target, em tìm nguyên nhân và hành động ngay.","['production plan', 'Team Leaders', 'hourly output', 'recovery actions']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to output control?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-06,6,Delivery Control,Must learn,How do you control delivery performance?,Bạn kiểm soát giao hàng như thế nào?,"I control delivery by following production schedule, urgent orders, and hourly output. If there is a production gap, I check whether the cause is manpower, material, machine, process, or quality. Then I coordinate with Team Leaders and related departments to recover output before it becomes a delivery risk.","Em theo dõi kế hoạch sản xuất, đơn hàng gấp và sản lượng theo giờ. Nếu có gap, em kiểm tra nguyên nhân: nhân lực, vật tư, máy móc, quy trình hay chất lượng rồi phối hợp để kéo lại.","['production schedule', 'urgent orders', 'hourly output', 'delivery risk']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to delivery control?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-07,7,Productivity,Must learn,How do you improve productivity?,Bạn cải thiện năng suất như thế nào?,"I improve productivity by finding the real bottleneck. First, I compare actual output with target. Then I check the line to see where waiting time, manpower imbalance, or process delay happens. After that, I rebalance manpower, support the bottleneck process, reduce waiting time, and follow up the result.","Em cải thiện năng suất bằng cách tìm bottleneck thật. Sau đó cân bằng nhân lực, hỗ trợ công đoạn nghẽn, giảm thời gian chờ và theo dõi kết quả.","['bottleneck', 'actual output', 'target', 'rebalance manpower']",Situation → Action → Result,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to productivity?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-08,8,Ramp-up,Must learn,Tell me about your ramp-up experience.,Hãy nói về kinh nghiệm ramp-up của bạn.,"In ramp-up, my focus is not only increasing output but also stabilizing the process. I need to prepare manpower, coordinate operator training, follow output progress, and solve issues quickly. In one ramp-up case, output reached 80K pieces per week. I followed daily output, manpower readiness, bottlenecks, training status, and coordinated with related departments to stabilize production.","Trong ramp-up, em không chỉ tăng output mà còn ổn định quy trình. Một case ramp-up đạt 80K pcs/week nhờ theo dõi output, nhân lực, đào tạo, bottleneck và phối hợp các bộ phận.","['output', 'process stability', 'operator training', '80K pieces per week']",Situation → Action → Result,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to ramp-up?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-09,9,Quality,Must learn,How do you handle quality issues?,Bạn xử lý vấn đề chất lượng như thế nào?,"When a quality issue happens, I first contain the affected products and inform QA. Then I check the process, operator, material, machine, and defect trend. For bigger issues, we use 8D. For smaller issues, we use Fishbone analysis to find root cause. After that, we take corrective actions and follow up to prevent recurrence.","Khi có lỗi, em khoanh vùng sản phẩm và báo QA. Sau đó kiểm tra quy trình, công nhân, vật tư, máy móc và xu hướng lỗi. Lỗi lớn dùng 8D, lỗi nhỏ dùng xương cá để tìm nguyên nhân gốc.","['containment', 'QA', '8D', 'Fishbone', 'root cause']",Situation → Action → Result,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to quality?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-10,10,Problem Solving,Normal,What is 8D problem solving?,8D là gì?,"8D is a structured problem-solving method. It helps the team define the problem, contain the issue, find root cause, implement corrective actions, and prevent recurrence. In production, I use 8D when the issue is serious, repeated, or has customer or delivery impact.","8D là phương pháp giải quyết vấn đề có cấu trúc: xác định vấn đề, khoanh vùng, tìm nguyên nhân gốc, hành động khắc phục và phòng ngừa lỗi lặp lại.","['delivery', '8D']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to problem solving?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
