id,mainCategory,topic,type,level,term,ipa,partOfSpeech,vietnameseMeaning,englishDefinition,synonyms,collocations,exampleSentence,interviewSentence,speakingPrompt,commonMistake,pronunciationFocus,tags,status
TOE-9-001,TOEIC Core,Contracts,Word,Basic,agreement,,noun,thỏa thuận,A TOEIC workplace term commonly used in contracts contexts.,,agreement document; agreement process; agreement requirement,The company reviewed the agreement before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'agreement' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-002,TOEIC Core,Contracts,Word,Basic,contract,,noun,hợp đồng,A TOEIC workplace term commonly used in contracts contexts.,,contract document; contract process; contract requirement,The company reviewed the contract before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'contract' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-003,TOEIC Core,Contracts,Phrase,Basic,abide by,,phrase,tuân thủ,A TOEIC workplace term commonly used in contracts contexts.,,abide by document; abide by process; abide by requirement,The company reviewed the abide by before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'abide by' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-004,TOEIC Core,Contracts,Word,Basic,assurance,,noun,nghĩa tiếng Việt của 'assurance' trong chủ đề Contracts,A TOEIC workplace term commonly used in contracts contexts.,,assurance document; assurance process; assurance requirement,The company reviewed the assurance before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'assurance' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-005,TOEIC Core,Contracts,Word,Basic,cancellation,,noun,sự hủy bỏ,A TOEIC workplace term commonly used in contracts contexts.,,cancellation document; cancellation process; cancellation requirement,The company reviewed the cancellation before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'cancellation' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-006,TOEIC Core,Contracts,Word,Basic,determine,,noun,nghĩa tiếng Việt của 'determine' trong chủ đề Contracts,A TOEIC workplace term commonly used in contracts contexts.,,determine document; determine process; determine requirement,The company reviewed the determine before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'determine' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-007,TOEIC Core,Contracts,Word,Basic,engage,,noun,nghĩa tiếng Việt của 'engage' trong chủ đề Contracts,A TOEIC workplace term commonly used in contracts contexts.,,engage document; engage process; engage requirement,The company reviewed the engage before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'engage' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-008,TOEIC Core,Contracts,Word,Basic,establish,,noun,nghĩa tiếng Việt của 'establish' trong chủ đề Contracts,A TOEIC workplace term commonly used in contracts contexts.,,establish document; establish process; establish requirement,The company reviewed the establish before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'establish' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-009,TOEIC Core,Contracts,Word,Basic,obligate,,noun,nghĩa tiếng Việt của 'obligate' trong chủ đề Contracts,A TOEIC workplace term commonly used in contracts contexts.,,obligate document; obligate process; obligate requirement,The company reviewed the obligate before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'obligate' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-010,TOEIC Core,Contracts,Word,Basic,party,,noun,nghĩa tiếng Việt của 'party' trong chủ đề Contracts,A TOEIC workplace term commonly used in contracts contexts.,,party document; party process; party requirement,The company reviewed the party before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'party' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-011,TOEIC Core,Contracts,Word,Basic,provision,,noun,nghĩa tiếng Việt của 'provision' trong chủ đề Contracts,A TOEIC workplace term commonly used in contracts contexts.,,provision document; provision process; provision requirement,The company reviewed the provision before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'provision' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-012,TOEIC Core,Contracts,Word,Basic,resolve,,verb,nghĩa tiếng Việt của 'resolve' trong chủ đề Contracts,A TOEIC workplace term commonly used in contracts contexts.,,resolve a request; resolve the information; resolve a document,The manager asked us to resolve the information by Friday.,This word is useful for TOEIC Reading and workplace communication.,Use 'resolve' in a short answer about contracts.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, contracts",New
TOE-9-001,TOEIC Core,Marketing,Word,Basic,attract,,verb,nghĩa tiếng Việt của 'attract' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,attract a request; attract the information; attract a document,The manager asked us to attract the information by Friday.,This word is useful for TOEIC Reading and workplace communication.,Use 'attract' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-002,TOEIC Core,Marketing,Word,Basic,compare,,verb,nghĩa tiếng Việt của 'compare' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,compare a request; compare the information; compare a document,The manager asked us to compare the information by Friday.,This word is useful for TOEIC Reading and workplace communication.,Use 'compare' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-003,TOEIC Core,Marketing,Word,Basic,competition,,noun,nghĩa tiếng Việt của 'competition' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,competition document; competition process; competition requirement,The company reviewed the competition before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'competition' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-004,TOEIC Core,Marketing,Word,Basic,consume,,verb,nghĩa tiếng Việt của 'consume' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,consume a request; consume the information; consume a document,The manager asked us to consume the information by Friday.,This word is useful for TOEIC Reading and workplace communication.,Use 'consume' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-005,TOEIC Core,Marketing,Word,Basic,convince,,verb,nghĩa tiếng Việt của 'convince' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,convince a request; convince the information; convince a document,The manager asked us to convince the information by Friday.,This word is useful for TOEIC Reading and workplace communication.,Use 'convince' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-006,TOEIC Core,Marketing,Word,Basic,currently,,adverb,nghĩa tiếng Việt của 'currently' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,currently document; currently process; currently requirement,The company reviewed the currently before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'currently' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-007,TOEIC Core,Marketing,Word,Basic,fad,,noun,nghĩa tiếng Việt của 'fad' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,fad document; fad process; fad requirement,The company reviewed the fad before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'fad' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-008,TOEIC Core,Marketing,Word,Basic,inspiration,,noun,nghĩa tiếng Việt của 'inspiration' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,inspiration document; inspiration process; inspiration requirement,The company reviewed the inspiration before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'inspiration' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
